tweet,text_cl,text_lm,sentiment
Sad that i have been gone for a week missing my puppy and tomorrow i have to leave again for a week ,sad that i have been gone for a week missing my puppy and tomorrow i have to leave again for a week,sad gone week missing puppy tomorrow leave week,0
I have a sore throat ,i have a sore throat,sore throat,0
is so extremely tired and dosent want to go to school today ,is so extremely tired and dosent want to go to school today,extremely tired dosent want go school today,0
"@crazydiamondsi Eh up you  We are talking SAAB 9-5 se, estate too. Had to get a 2.0t as insurance wouldn't touch Poppet on a 2.3t ",user eh up you we are talking saab se estate too had to get a t as insurance would not touch poppet on a t,user eh talking saab se estate get insurance not touch poppet,0
@dougiemcfly thanks for the opinion dougie ha ha ,user thanks for the opinion dougie ha ha,user thanks opinion dougie ha ha,0
@dullyM i would but Ive got a little one who is cheese challenged..    it makes dinners difficult when most of us live off cheese...,user i would but i have got a little one who is cheese challenged it makes dinners difficult when most of us live off cheese,user got little one cheese challenged make dinner difficult live cheese,0
i miss him already.. oh god I'm pathetic ,i miss him already god i am pathetic,miss already god pathetic,0
"Feeling very hungry today, probably because I missed my breakfast ",feeling very hungry today probably because i missed my breakfast,feeling hungry today probably missed breakfast,0
@michellebranch I just just had to download &quot;Everywhere&quot; from iTunes since I can't find my Spirit Room CD ,user i just just had to download everywhere from itunes since i can not find my spirit room cd,user download everywhere itunes since not find spirit room cd,0
"Caroline Flint's gone. Terrible minister, but she was kind of fuckable ",caroline flint s gone terrible minister but she was kind of fuckable,caroline flint gone terrible minister kind fuckable,0
@xHaLeyT Ah yes....pfff I don't want play Volley...but I must...infortunatly ,user ah yes p i do not want play volley but i must infortunatly,user ah yes not want play volley must infortunatly,0
temporary move out of my room for Matt and Sarah to come stay for the week  goodbye comfy bed.,temporary move out of my room for matt and sarah to come stay for the week goodbye comfy bed,temporary move room matt sarah come stay week goodbye comfy bed,0
@OfficialSTaylo @boddingtons Its your decision my love.  If you choose to stay as you are will you still be my wife?  ,user user it is your decision my love if you choose to stay as you are will you still be my wife,user user decision love choose stay still wife,0
@Caseyred03 I miss u too...I'm going to see dane cook tonight ,user i miss you too i am going to see dane cook tonight,user miss going see dane cook tonight,0
